"title","obis","records","totalrecords","fraction","taxa","org_title","org_country","installation_title","node_title"
"Marine and Coastal Management - Linefish Dataset (Second Semester of 1999) (AfrOBIS)",t,46923,46980,1.00,75,"Ocean Biogeographic Information System","","DiGIR Installation","Ocean Biogeographic Information System (OBIS)"
"Vascular plants in Denmark recorded under the The Nationwide Monitoring and Assessment Programme for the Aquatic and Terrestrial Environments (NOVANA)",,46876,1720355,0.03,26,"Danish Nature Agency","DK","DanBIF IPT at Aarhus University","DanBIF - Danish Biodiversity Information Facility"
"Occurrence records of southern African aquatic biodiversity",,46300,70871,0.65,4568,"The South African Institute for Aquatic Biodiversity","ZA","SAIAB","South African Biodiversity Information Facility"
"CABI Bioscience Fungus Collection",,46026,135762,0.34,1775,"CABIDiGIR Provider","","DiGIR Installation","CABI Bioscience"
"Finnish Winter Bird Census",,44596,869005,0.05,61,"Finnish Museum of Natural History","FI","BioCASe Installation Finnish Museum of Natural History","GBIF Finland"
"Wiltshire and Swindon Biological Records Centre - Wiltshire & Swindon Site-based Survey Records",,44383,480160,0.09,223,"UK National Biodiversity Network","GB","HTTP Installation UK NBN","National Biodiversity Network"
"Marine and Coastal Management - Linefish Dataset (First Semester of 2001) (AfrOBIS)",t,44228,44288,1.00,71,"Ocean Biogeographic Information System","","DiGIR Installation","Ocean Biogeographic Information System (OBIS)"
"Marine and Coastal Management - Linefish Dataset (Second Semester of 1985) (AfrOBIS)",t,43689,43746,1.00,79,"Ocean Biogeographic Information System","","DiGIR Installation","Ocean Biogeographic Information System (OBIS)"
"Atlas of Danish Fishes",,43477,46526,0.93,50,"Zoological Museum, Natural History Museum of Denmark","DK","DanBIF IPT at Aarhus University","DanBIF - Danish Biodiversity Information Facility"
"VIS - Fishes in estuarine waters in Flanders, Belgium",,42690,45156,0.95,73,"Research Institute for Nature and Forest (INBO)","BE","INBO IPT","Belgium Biodiversity Information Facility"
"A Biological Survey of the Waters of Woods Hole and Vacinity",t,42150,42665,0.99,1240,"Ocean Biogeographic Information System","","DiGIR Installation","Ocean Biogeographic Information System (OBIS)"
"Marine and Coastal Management - Linefish Dataset (Second Semester of 2000) (AfrOBIS)",t,42138,42183,1.00,73,"Ocean Biogeographic Information System","","DiGIR Installation","Ocean Biogeographic Information System (OBIS)"
"AMNH Bird Collection",,42031,594878,0.07,643,"American Museum of Natural History","US","IPT - Hosted by VertNet","U.S. Geological Survey"
"Tagged Seal Location Data from SOGLOBEC",,41676,41676,1.00,1,"Antarctic Biodiversity Information Facility (ANTABIF)","","Scientific Committee on Antarctic Research - Marine Biodiversity Information Network (SCAR-MarBIN)","Scientific Committee on Antarctic Research (SCAR)"
"Invertebrates of the Gothenburg Natural History Museum (GNM)",,41095,44273,0.93,2006,"Gothenburg Natural History Museum (GNM)","SE","IPT GBIF-Sweden","GBIF Sweden"
"AIMS LTM Fish (OBIS Australia)",t,40981,40981,1.00,231,"Ocean Biogeographic Information System","","DiGIR Installation","Ocean Biogeographic Information System (OBIS)"
"British Lichen Society - BLS Mapping Scheme dataset, 1750-2009",,40925,492233,0.08,133,"UK National Biodiversity Network","GB","HTTP Installation UK NBN","National Biodiversity Network"
"Paleobiology Database",,40771,195382,0.21,9339,"Marine Science Institute, UCSB","US","DiGIR Installation","U.S. Geological Survey"
"British Bryological Society - Bryophyte data for Great Britain from the British Bryological Society held by BRC",,40124,2289640,0.02,5,"UK National Biodiversity Network","GB","HTTP Installation UK NBN","National Biodiversity Network"
"Composition of planktonic foraminifera species in 1123 surface sediment samples compared with sea surface temperatures from the Levitus Atlas",,40034,41013,0.98,22,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"Marine Biological Association - DASSH Data Archive Centre Academic surveys",,39769,39771,1.00,1122,"UK National Biodiversity Network","GB","HTTP Installation UK NBN","National Biodiversity Network"
"QLD DERM Coastal Bird Atlas (Trial)",,39086,59483,0.66,95,"Queensland Department of Environment and Resource Management","AU","ALA.org.au","Atlas of Living Australia"
"Countryside Council for Wales - Pembrokeshire Marine Species Atlas",,38824,38870,1.00,2107,"UK National Biodiversity Network","GB","HTTP Installation UK NBN","National Biodiversity Network"
"Botanical Society of the British Isles - Vascular Plants Database",,38732,8451165,0.00,25,"UK National Biodiversity Network","GB","HTTP Installation UK NBN","National Biodiversity Network"
"Tulane University Museum of Natural History",,38411,198548,0.19,1630,"Tulane University Museum of Natural History","US","DiGIR Installation","U.S. Geological Survey"
"Marine and Coastal Management - Copepod Surveys (AfrOBIS)",t,37756,37756,1.00,4,"Ocean Biogeographic Information System","","DiGIR Installation","Ocean Biogeographic Information System (OBIS)"
"Inventaire National du Patrimoine Naturel : Atlas des poissons d'eau douce de France métropolitaine (2011)",,37734,54373,0.69,55,"SPN - Service du Patrimoine naturel, Muséum national d'Histoire naturelle, Paris","FR","HTTP Installation","GBIF France"
"Marine and Coastal Management - Linefish Dataset (First Semester of 2004) (AfrOBIS)",t,37603,37628,1.00,62,"Ocean Biogeographic Information System","","DiGIR Installation","Ocean Biogeographic Information System (OBIS)"
"Bristol Regional Environmental Records Centre - BRERC October 2009",,37220,1522795,0.02,443,"UK National Biodiversity Network","GB","HTTP Installation UK NBN","National Biodiversity Network"
"Marine and Coastal Management - Linefish Dataset (First Semester of 1985) (AfrOBIS)",t,36621,36685,1.00,73,"Ocean Biogeographic Information System","","DiGIR Installation","Ocean Biogeographic Information System (OBIS)"
"Ichthyology, Kagoshima University Museum",,36162,40279,0.90,2234,"National Museum of Nature and Science, Japan","JP","Museum Node of Japan","GBIF Japan"
"Fish specimens of Fisheries Research Laboratory Mie University",,35840,39994,0.90,2227,"National Museum of Nature and Science, Japan","JP","Museum Node of Japan","GBIF Japan"
"Environment Agency - Environment Agency freshwater invertebrate species (single species families)",,35227,64004,0.55,2,"UK National Biodiversity Network","GB","HTTP Installation UK NBN","National Biodiversity Network"
"Marine and Coastal Management - Linefish Dataset (First Semester of 2005) (AfrOBIS)",t,34836,34872,1.00,66,"Ocean Biogeographic Information System","","DiGIR Installation","Ocean Biogeographic Information System (OBIS)"
"AIMS - Baited Remote Underwater Video Station (OBIS Australia)",t,33717,33717,1.00,670,"Ocean Biogeographic Information System","","DiGIR Installation","Ocean Biogeographic Information System (OBIS)"
"Marine species distributions in Irish coastal waters",,33632,33646,1.00,737,"National Biodiversity Data Centre","IE","HTTP Installation","National Biodiversity Data Centre"
"Marine and Coastal Management - Demersal Surveys (years 2001-2005) (AfrOBIS)",t,33196,33196,1.00,326,"Ocean Biogeographic Information System","","DiGIR Installation","Ocean Biogeographic Information System (OBIS)"
"Marine and Coastal Management - Linefish Dataset (Second Semester of 2004) (AfrOBIS)",t,32895,32928,1.00,65,"Ocean Biogeographic Information System","","DiGIR Installation","Ocean Biogeographic Information System (OBIS)"
"Environment Agency - Environment Agency Rare and Protected Species records v1",,32613,35219,0.93,12,"UK National Biodiversity Network","GB","HTTP Installation UK NBN","National Biodiversity Network"
"Naturalis National Natural History Museum (NL) – Crustacea_Decapoda",,32475,35718,0.91,3892,"Naturalis Biodiversity Center","NL","TAPIR Installation","Netherlands Biodiversity Information Facility"
"RSPB - Bird Conservation Targeting Project (BCTP) in the UK, 2004-2009",,32351,135656,0.24,3,"UK National Biodiversity Network","GB","HTTP Installation UK NBN","National Biodiversity Network"
"WFVZ Bird Collections",,31289,256602,0.12,469,"Western Foundation of Vertebrate Zoology","US","IPT - Hosted by VertNet","U.S. Geological Survey"
"CSIRO Ichthyology provider for OZCAM",,31069,31979,0.97,3659,"CSIRO","AU","ALA.org.au","Atlas of Living Australia"
"Field Museum of Natural History (Zoology) Invertebrate Collection",,30912,138101,0.22,4402,"Field Museum","US","Field Museum of Natural History IPT","U.S. Geological Survey"
"Naturalis National Natural History Museum (NL) – Invertebrate specimens from marine expeditions",,30476,30855,0.99,3692,"Naturalis Biodiversity Center","NL","TAPIR Installation","Netherlands Biodiversity Information Facility"
"European Molecular Biology Laboratory Australian Mirror",,29838,32254,0.93,467,"European Molecular Biology Laboratory Australia","AU","ALA.org.au","Atlas of Living Australia"
"Marine and Coastal Management - Linefish Dataset (Second Semester of 2001) (AfrOBIS)",t,29567,29600,1.00,75,"Ocean Biogeographic Information System","","DiGIR Installation","Ocean Biogeographic Information System (OBIS)"
"Marine and Coastal Management - Linefish Dataset (Second Semester of 2005) (AfrOBIS)",t,29023,29043,1.00,62,"Ocean Biogeographic Information System","","DiGIR Installation","Ocean Biogeographic Information System (OBIS)"
"Distribution of planktic foraminifera in surface sediments of the Atlantic Ocean (ATL947)",,28862,29945,0.96,28,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"Annelida collection of National Museum of Nature and Science",,28771,29059,0.99,832,"National Museum of Nature and Science, Japan","JP","Museum Node of Japan","GBIF Japan"
"Biodiversity Research and Teaching Collections - TCWC Vertebrates",,28738,213181,0.13,2302,"Texas A&M University Biodiversity Research and Teaching Collections","US","IPT - Hosted by VertNet","U.S. Geological Survey"
"Canada Maritimes Regional Cetacean Sightings (OBIS Canada)",t,28572,28572,1.00,33,"Ocean Biogeographic Information System","","DiGIR Installation","Ocean Biogeographic Information System (OBIS)"
"South Western Pacific Regional OBIS Data All Sea Bio Subset (South Western P acific OBIS)",t,28496,30528,0.93,2330,"Ocean Biogeographic Information System","","DiGIR Installation","Ocean Biogeographic Information System (OBIS)"
"Fish specimen database of Osaka Museum of Natural History",,28194,42844,0.66,1588,"National Museum of Nature and Science, Japan","JP","Museum Node of Japan","GBIF Japan"
"Historical hyperbenthos data (1987-2001) from the North Sea and some adjacent areas (EurOBIS)",t,28048,28048,1.00,483,"Ocean Biogeographic Information System","","DiGIR Installation","Ocean Biogeographic Information System (OBIS)"
"Countryside Council for Wales - 1996 - 2005 CCW Marine Intertidal Phase 1 species dataset",,28012,28154,0.99,590,"UK National Biodiversity Network","GB","HTTP Installation UK NBN","National Biodiversity Network"
"MedOBIS (EurOBIS)",t,27960,27998,1.00,2154,"Ocean Biogeographic Information System","","DiGIR Installation","Ocean Biogeographic Information System (OBIS)"
"Diversidad bentónica del ambiente intermareal e infralitoral somero de Progreso, Yucatán",,27959,29118,0.96,224,"Comisión nacional para el conocimiento y uso de la biodiversidad","MX","CONABIO","Biodiversity Information System of Mexico"
"Fish collection of National Museum of Nature and Science",,27725,32170,0.86,4171,"National Museum of Nature and Science, Japan","JP","Museum Node of Japan","GBIF Japan"
"SANT-Algae",,27591,28054,0.98,779,"Herbario SANT, Universidade de Santiago de Compostela","ES","TAPIR Installation","GBIF Spain"
"Crustaceans collection (IU) of the Muséum national d'Histoire naturelle (MNHN - Paris)",,27529,30442,0.90,5220,"MNHN - Museum national d'Histoire naturelle","FR","MNHN - Collections","GBIF France"
"The national database for marine data (MADS)",,27250,28532,0.96,235,"Danish Centre for Environment and Energy, Aarhus University","DK","DanBIF IPT at Aarhus University","DanBIF - Danish Biodiversity Information Facility"
"British Lichen Society - BLS Lichen Database: England",,27059,334013,0.08,96,"UK National Biodiversity Network","GB","HTTP Installation UK NBN","National Biodiversity Network"
"Canadian Museum of Nature Fish Collection",,26964,43273,0.62,1390,"Canadian Museum of Nature","CA","Canadian Heritage Information Network","Canada Biodiversity Information Facility"
"University of Amsterdam (NL) – Benthos monitoring of the North Sea research database",,26900,26904,1.00,373,"University of Amsterdam / IBED","NL","UvA-IBED IPT","Netherlands Biodiversity Information Facility"
"South Australian Museum Australia provider for OZCAM",,26788,199399,0.13,1705,"South Australian Museum","AU","ALA.org.au","Atlas of Living Australia"
"Marine and Coastal Management - Linefish Dataset (Second Semester of 2002) (AfrOBIS)",t,26628,26657,1.00,65,"Ocean Biogeographic Information System","","DiGIR Installation","Ocean Biogeographic Information System (OBIS)"
"Botany (UPS)",,26461,602357,0.04,2968,"GBIF-Sweden","SE","IPT GBIF-Sweden","GBIF Sweden"
"UAM Mammal Collection (Arctos)",,26338,119404,0.22,55,"University of Alaska Museum of the North","US","IPT - Hosted by VertNet","U.S. Geological Survey"
"Marine and Coastal Management - Linefish Dataset (Second Semester of 2003) (AfrOBIS)",t,25887,25917,1.00,68,"Ocean Biogeographic Information System","","DiGIR Installation","Ocean Biogeographic Information System (OBIS)"
"Biological Records Centre - Ladybird Survey of the UK",,25878,123462,0.21,1,"UK National Biodiversity Network","GB","HTTP Installation UK NBN","National Biodiversity Network"
"ARABEL - Arachnologia Belgica",,25704,290040,0.09,37,"BeBIF Provider","BE","Belgian BIF IPT","Belgium Biodiversity Information Facility"
"Natural Geography In Shore Areas (NaGISA) Dataset",t,25655,25812,0.99,1866,"Ocean Biogeographic Information System","","DiGIR Installation","Ocean Biogeographic Information System (OBIS)"
"SysTax -  Zoological Collections",,25631,163368,0.16,7528,"SysTax","DE","BioCASe Installation SysTax","GBIF Germany"
"The Brown University Foraminiferal Data Base (BFD)",,25471,25819,0.99,30,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"Tasmanian Museum and Art Gallery provider for OZCAM",,25179,35140,0.72,2075,"Tasmanian Museum and Art Gallery","AU","ALA.org.au","Atlas of Living Australia"
